# Corporate families and sectors for the most frequent H-1B clients, FY2022 to FY2025.
# name = week04_names.normalize() key; naics2 = NAICS 2022 sector. Proposed by Claude from public knowledge of each company in two passes on 23 Sep 2026 (the 300 most frequent clients, then the next 230); to be reviewed.
name,canonical,naics2
BANK OF AMERICA,Bank of America,52
FIDELITY INVESTMENTS,Fidelity Investments,52
FIDELITY,Fidelity Investments,52
WELLS FARGO,Wells Fargo,52
WELLS FARGO BANK,Wells Fargo,52
FORUM CAPITAL MARKETS LLC DBA WELLS FARGO,Wells Fargo,52
APPLE,Apple,31-33
VERIZON,Verizon,51
VERIZON SOURCING,Verizon,51
VERIZON COMMUNICATIONS,Verizon,51
VERIZON WIRELESS,Verizon,51
CAPITAL ONE,Capital One,52
CAPITAL ONE SERVICES,Capital One,52
CITIBANK,Citigroup,52
CITIGROUP TECHNOLOGY,Citigroup,52
CITIGROUP,Citigroup,52
CITICORP CREDIT SERVICES,Citigroup,52
CITI BANK,Citigroup,52
CITICORP NORTH AMERICA,Citigroup,52
CITI,Citigroup,52
FORD MOTOR,Ford,31-33
T MOBILE,T-Mobile,51
AMERICAN EXPRESS,American Express,52
AMERICAN EXPRESS TRAVEL RELATED SERVICES,American Express,52
AT AND T,AT&T,51
AT AND T SERVICES,AT&T,51
CHARLES SCHWAB,Charles Schwab,52
WALMART,Walmart,44-45
CISCO SYSTEMS,Cisco,31-33
CISCO,Cisco,31-33
CHARTER COMMUNICATIONS,Charter Communications,51
CHARTER COMMUNICATIONS OPERATING,Charter Communications,51
UNITED SERVICES AUTOMOBILE ASSOCIATION,USAA,52
UNITED SERVICES AUTOMOBILE ASSOCIATION USAA,USAA,52
USAA,USAA,52
USAA ACCEPTANCE,USAA,52
USAA UNITED SERVICES AUTOMOBILE ASSOCIATION,USAA,52
GOOGLE,Google,51
HUMANA,Humana,52
VANGUARD,Vanguard,52
CATERPILLAR,Caterpillar,31-33
FANNIE MAE,Fannie Mae,52
CVS HEALTH,CVS Health,44-45
CVS PHARMACY,CVS Health,44-45
FREDDIE MAC,Freddie Mac,52
FEDERAL HOME LOAN MORTGAGE,Freddie Mac,52
ELEVANCE HEALTH,Elevance Health,52
ANTHEM,Elevance Health,52
MORGAN STANLEY,Morgan Stanley,52
MORGAN STANLEY SERVICES,Morgan Stanley,52
COMCAST,Comcast,51
