# Client names that misspell a much more common one; built by week04_names_check.py --build-merges. Delete a row to undo a merge.
variant,target,variant_filings,target_filings,score
CNBC UNIVERSAL,NBC UNIVERSAL,1,302,96.3
NBC UNIVERSIAL,NBC UNIVERSAL,1,302,96.3
DEPUTY SYNTHES,DEPUY SYNTHES,2,286,96.3
OPTUM SERVICE,OPTUM SERVICES,2,202,96.3
EXPRESS SCRIPT,EXPRESS SCRIPTS,3,185,96.6
EXPRESSSCRIPTS,EXPRESS SCRIPTS,1,185,96.6
AMERCIAN INTERNATIONAL,AMERICAN INTERNATIONAL,1,184,95.5
UNION PACIFIC RAIL ROAD,UNION PACIFIC RAILROAD,7,172,97.8
UNIION PACIFIC RAILROAD,UNION PACIFIC RAILROAD,2,172,97.8
CITY STORAGES SYSTEMS,CITY STORAGE SYSTEMS,3,163,97.6
CITY STORAGE SYTEMS,CITY STORAGE SYSTEMS,1,163,97.4
WEST VIRGINIA UNVERSITY,WEST VIRGINIA UNIVERSITY,1,158,97.9
CAREER CONNECTIONS SERVICES,CAREER CONNECTION SERVICES,23,156,98.1
CAREER CONNECTION SERVICE,CAREER CONNECTION SERVICES,2,156,98.0
CARRER CONNECTION SERVICES,CAREER CONNECTION SERVICES,2,156,96.2
CAREER CONNECATION SERVICES,CAREER CONNECTION SERVICES,1,156,98.1
RETAIL BUSINESS SERVICE,RETAIL BUSINESS SERVICES,2,150,97.9
WESTERN ALIANCE BANK,WESTERN ALLIANCE BANK,2,138,97.6
WESTERN ALLINACE BANK,WESTERN ALLIANCE BANK,1,138,95.2
SSM HEALTH ST LOUIS UNIVERSITY HOSPITAL,SSM HEALTH SAINT LOUIS UNIVERSITY HOSPITAL,7,137,96.3
TATA CONSULTANCY SERVICE,TATA CONSULTANCY SERVICES,1,136,98.0
TATA CONSULTANCE SERVICES,TATA CONSULTANCY SERVICES,1,136,96.0
MANUFACTURER AND TRADERS TRUST,MANUFACTURERS AND TRADERS TRUST,5,135,98.4
HF MANAGEMENT SERVICE,HF MANAGEMENT SERVICES,2,135,97.7
MANUFACTURES AND TRADERS TRUST,MANUFACTURERS AND TRADERS TRUST,1,135,98.4
FREEDOMS SELF STORAGE,FREEDOM SELF STORAGE,1,134,97.6
CHILDRENS OF ALABAMA,CHILDREN S OF ALABAMA,7,133,97.6
EVICORE HEALTH CARE,EVICORE HEALTHCARE,1,131,97.3
CATHOLIC HEALTH INTIATIVES,CATHOLIC HEALTH INITIATIVES,1,129,98.1
CATHOLIC HEALTH INITIATIVE,CATHOLIC HEALTH INITIATIVES,1,129,98.1
CATHOLIC HEALTH INTIATIVE,CATHOLIC HEALTH INITIATIVES,1,129,96.2
GLOBAL ATLANTIC FINANCIALS,GLOBAL ATLANTIC FINANCIAL,4,126,98.0
LOS ANGELES UNIFED SCHOOL DISTRICT,LOS ANGELES UNIFIED SCHOOL DISTRICT,1,126,98.6
TEXAS HEALTH AND HUMAN SERVICE COMMISSION,TEXAS HEALTH AND HUMAN SERVICES COMMISSION,5,125,98.8
TEXAS HEALTH AND HUMAN SERVICES COMISSION,TEXAS HEALTH AND HUMAN SERVICES COMMISSION,1,125,98.8
TEXAS HELATH AND HUMAN SERVICES COMMISSION,TEXAS HEALTH AND HUMAN SERVICES COMMISSION,1,125,97.6
NEW YORK STATE OFFICE OF INFORMATION TECHNOLOGY SERVICES ITS,NEW YORK STATE OFFICE OF INFORMATION TECHNOLOGY SERVICES,21,124,96.6
INTERNATIONAL BANK FORRECONSTRUCTION AND DEVELOPMENT,INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,5,124,99.0
INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPM,INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,5,124,97.1
NEW YORK STATE GOVT OFFICE OF INFORMATION TECHNOLOGY SERVICES,NEW YORK STATE OFFICE OF INFORMATION TECHNOLOGY SERVICES,5,124,95.7
DEPOSITORY TRUST AND CLEANING CORPORATION DTCC,DEPOSITORY TRUST AND CLEARING CORPORATION DTCC,5,124,97.8
