# Client and filing-firm keys matched to a Wikidata company by exact normalized name (week04_names.client/resolver().client), restricted to items that are some kind of organization; NAICS/SIC from the company or its industries via week04_wikidata.py. A row with no naics2 matched a company but found no usable code; see 'reason'.
key,label,filings,qid,wikidata_label,match,industry_qids,industry_labels,naics2,source_codes,reason
FEIN 470912023,Linkedin,4493,Q127278673,LinkedIn Corporation,label,Q75,Internet,,,no NAICS or SIC on the company or its industries
FEIN 943292913,Vmware,2477,Q11407,VMware,label,Q880371,software industry,51,reviewed industry table,
FEIN 432077033,Synechron,2393,Q21178936,Synechron Inc,label,Q21198,computer science,,,no NAICS or SIC on the company or its industries
FEIN 416011702,Mayo Clinic,2117,Q1130172,Mayo Clinic,label,Q31207|Q42240,health care|research,62,reviewed industry table,
FEIN 042432614,Boston Consulting,2049,Q135635,Boston Consulting Group,label,Q23699878,management consulting industry,54,reviewed industry table,
FEIN 386006309,University of Michigan,2030,Q230492,University of Michigan,label,,,,,no NAICS or SIC on the company or its industries
FEIN 133417984,Bloomberg,1705,Q13977,Bloomberg L.P.,label,Q56611639,media industry,51,reviewed industry table,
FEIN 510406223,Infinite Computer Solutions,1599,Q6029743,Infinite Computer Solutions,label,,,,,no NAICS or SIC on the company or its industries
SALESFORCE COM,Salesforce COM,1401,Q941127,Salesforce,alias,Q483639|Q880371|Q485643|Q184199|Q1254596|Q1318054|Q1142726|Q1155133|Q485396,cloud computing|software industry|customer relationship management|automation|software as a service|enterprise software|intelligent agent|email marketing|analytics,51,reviewed industry table,
FEIN 620646012,ST Jude Children S Research Hospital,1282,Q1164246,St. Jude Children's Research Hospital,label,Q42240,research,,,no NAICS or SIC on the company or its industries
FEIN 146013200,State University of NEW York at Buffalo,1281,Q681025,University at Buffalo,alias,,,,,no NAICS or SIC on the company or its industries
FEIN 946036493,University of California SAN Francisco,1234,Q1061104,"University of California, San Francisco",label,,,,,no NAICS or SIC on the company or its industries
FEIN 841246887,Slalom,1174,Q50820826,"Slalom, Inc.",label,Q123131704,Management Consulting Services,54,P3224 (company),
FEIN 270465600,Stripe,1062,Q7624104,Stripe,label,Q837171|Q97466005,financial services|mobile payment industry,52,reviewed industry table,
FEIN 362177139,University of Chicago,1054,Q131252,University of Chicago,label,Q136822,higher education,61,reviewed industry table,
FEIN 471523316,Zoox,1031,Q65121026,Zoox,label,Q7590|Q187939|Q170978,transport|industrial manufacturing|robotics,48-49,reviewed industry table,
FEIN 201821766,Brillio,1011,Q28401412,Brillio,label,Q11661,information technology,,,no NAICS or SIC on the company or its industries
FEIN 060646973,Yale University,987,Q49112,Yale University,label,Q136822,higher education,61,reviewed industry table,
FEIN 541986789,Globallogic,987,Q5570051,GlobalLogic,label,Q2220942,IT outsourcing industry,54,reviewed industry table,
FEIN 910515058,Nordstrom,946,Q174310,Nordstrom,label,Q126793,retail,44-45,reviewed industry table,
FEIN 560532129,Duke University,888,Q168751,Duke University,label,Q136822,higher education,61,reviewed industry table,
FEIN 042103580,Harvard University,879,Q13371,Harvard University,label,Q136822,higher education,61,reviewed industry table,
JUNIPER NETWORKS,Juniper Networks,858,Q1049080,Juniper Networks,label,Q1546066|Q11016|Q123152011|Q138816658,networking hardware|technology|Photographic and Photocopying Equipment Manufacturing [2012–2022 definition]|Q138816658,31-33,P3224 (industry),
FEIN 223394773,Birlasoft,841,Q4916512,BirlaSoft,label,,,,,no NAICS or SIC on the company or its industries
PERSISTENT SYSTEMS,Persistent Systems,794,Q7170401,Persistent Systems,label,Q1481411,IT service management,54,reviewed industry table,
FEIN 042312909,Brigham and Women S Hospital,784,Q2900977,Brigham and Women's Hospital,label,,,,,no NAICS or SIC on the company or its industries
FEIN 260129478,Indeed,772,Q1045367,Indeed,label,,,,,no NAICS or SIC on the company or its industries
FEIN 956006144,University of California SAN Diego,728,Q622664,"University of California, San Diego",label,,,,,no NAICS or SIC on the company or its industries
FEIN 042103594,Massachusetts Institute of Technology,711,Q49108,Massachusetts Institute of Technology,label,Q136822,higher education,61,reviewed industry table,
FEIN 942838567,Electronic Arts,689,Q173941,Electronic Arts,label,Q941594,video game industry,51,reviewed industry table,
FEIN 760745782,Sony Interactive Entertainment,670,Q18594,Sony Interactive Entertainment,label,Q1187283|Q941594,interactive entertainment|video game industry,51,reviewed industry table,
FEIN 061119960,Ericsson,668,Q52618,Ericsson,label,Q5268834,information and communications technology,,,no NAICS or SIC on the company or its industries
FEIN 813443155,Yahoo,667,Q29231846,Yahoo Inc.,label,Q75|Q2401742|Q21157865|Q56611639,Internet|telecommunications industry|technology industry|media industry,51,reviewed industry table,
FEIN 746001118,University of Texas MD Anderson Cancer Center,664,Q1525831,The University of Texas MD Anderson Cancer Center,label,,,,,no NAICS or SIC on the company or its industries
FEIN 770283746,Zensar Technologies,650,Q8069225,Zensar Technologies,label,Q1481411,IT service management,54,reviewed industry table,
FEIN 061364380,RED HAT,642,Q485593,Red Hat,label,Q880371,software industry,51,reviewed industry table,
FEIN 942951741,Lawrence Berkeley National Laboratory,634,Q1133630,Lawrence Berkeley National Laboratory,label,,,,,no NAICS or SIC on the company or its industries
FEIN 742853258,Perficient,628,Q7168146,Perficient,label,Q130286,business and other management consultancy activities,54,reviewed industry table,
FEIN 113418133,Northwell Health,620,Q7056650,Northwell Health,label,Q15067276,health care industry,62,reviewed industry table,
FEIN 911325671,Starbucks Coffee,608,Q37158,Starbucks,alias,Q10302044,coffee industry,,,no NAICS or SIC on the company or its industries
FEIN 521700207,Sirius XM Radio,596,Q3277465,Sirius XM Rad,alias,Q273623,radio broadcasting,,,no NAICS or SIC on the company or its industries
FEIN 830784802,Kpit Technologies,595,Q15822351,KPIT Technologies,label,Q1481411|Q1540863,IT service management|information technology consulting,54,reviewed industry table,
NTT DATA,NTT Data,588,Q1030691,NTT Data Group,label,Q1481411|Q1540863,IT service management|information technology consulting,54,reviewed industry table,
FEIN 386005984,Michigan State University,576,Q270222,Michigan State University,label,,,,,no NAICS or SIC on the company or its industries
FEIN 113735091,Hughes Network Systems,567,Q282161,Hughes Communications,alias,,,,,no NAICS or SIC on the company or its industries
FEIN 135562308,NEW York University,558,Q49210,New York University,label,Q136822,higher education,61,reviewed industry table,
FEIN 231352166,Children S Hospital of Philadelphia,557,Q4569202,Children's Hospital of Philadelphia,label,,,,,no NAICS or SIC on the company or its industries
FEIN 330629048,Pacific Investment Management,549,Q1970040,PIMCO,alias,Q837171,financial services,52,reviewed industry table,
FEIN 131740114,Montefiore Medical Center,546,Q6905066,Montefiore Medical Center,label,Q130370834,hospitals and rehabilitation,62,reviewed industry table,
FEIN 861432226,Collabera,541,Q5145789,Collabera,label,Q1056396|Q1481411|Q1318054,human resource management|IT service management|enterprise software,54,reviewed industry table,
FEIN 590735717,Howard Hughes Medical Institute,537,Q1512226,Howard Hughes Medical Institute,label,,,,,no NAICS or SIC on the company or its industries
FEIN 942905596,Samsung Semiconductor,537,Q20718,Samsung Electronics,alias,Q5358497,electronics industry,31-33,reviewed industry table,
FEIN 431833073,Black and Veatch,532,Q107004645,Black and Veatch,label,,,,,no NAICS or SIC on the company or its industries
FEIN 260451139,Credit Karma,520,Q5183722,Credit Karma,label,Q253613,personal finance,,,no NAICS or SIC on the company or its industries
FEIN 223703452,3I Infotech,506,Q4636612,3i Infotech Limited,label,Q1200977,quaternary sector of the economy,,,no NAICS or SIC on the company or its industries
FEIN 208775560,Insight Global,498,Q5570420,Global Insight,alias,,,,,no NAICS or SIC on the company or its industries
OPTUM,Optum,492,Q30284383,Optum,label,Q7180823,pharmacy benefits manager,,,no NAICS or SIC on the company or its industries
FEIN 043219960,Ansys,481,Q295774,,alias,Q29584754,software publishing,,,no NAICS or SIC on the company or its industries
FEIN 131959883,Moody S Investors Service,475,Q4159021,Moody's Investors Service,label,,,,,no NAICS or SIC on the company or its industries
FEIN 581276168,Lexisnexis Risk Solutions,474,Q134660580,LexisNexis® Risk Solutions,label,Q112165709,"wholesale (business-to-business) of computers, computer peripheral equipment and software",,,no NAICS or SIC on the company or its industries
FEIN 951780067,City National Bank,470,Q16958644,City National Bank of Florida,alias,Q806718|Q837171|Q57774188,economics of banking|financial services|financial sector,52,reviewed industry table,
FEIN 411416330,RBC Capital Markets,455,Q17112366,RBC Capital Markets,label,Q837171,financial services,52,reviewed industry table,
FEIN 135611820,Sumitomo Mitsui Banking,434,Q2660418,Sumitomo Mitsui Banking Corporation,label,Q837171,financial services,52,reviewed industry table,
FEIN 134064930,Alliancebernstein,419,Q4732268,AllianceBernstein,label,Q873442,asset management,52,reviewed industry table,
FEIN 113403915,Brookhaven National Laboratory,418,Q585777,Brookhaven National Laboratory,label,,,,,no NAICS or SIC on the company or its industries
FEIN 362756407,Options Clearing,417,Q7099026,Options Clearing Corporation,label,Q837171,financial services,52,reviewed industry table,
FEIN 042103881,Beth Israel Deaconess Medical Center,413,Q4897536,Beth Israel Deaconess Medical Center,label,,,,,no NAICS or SIC on the company or its industries
FEIN 454411958,Incedo,412,Q131294847,Incedo Inc.,label,,,,,no NAICS or SIC on the company or its industries
FEIN 043130648,Sapient,410,Q1602881,Publicis Sapient,alias,,,,,no NAICS or SIC on the company or its industries
FEIN 201001796,Ally Bank,410,Q4733393,Ally Bank,label,,,,,no NAICS or SIC on the company or its industries
FIDELITY,Fidelity,397,Q1411292,Fidelity Investments,alias,Q837171,financial services,52,reviewed industry table,
FEIN 210634479,Educational Testing Service,386,Q959089,Educational Testing Service,label,Q2585724,educational assessment,,,no NAICS or SIC on the company or its industries
FEIN 770441625,Cepheid,381,Q15964713,Cepheid,label,,,,,no NAICS or SIC on the company or its industries
COFORGE,Coforge,379,Q104864251,Coforge,label,Q11661,information technology,,,no NAICS or SIC on the company or its industries
FEIN 860673401,Blue Yonder,378,Q6107934,Blue Yonder,label,Q492886|Q1540863|Q880371|Q638608,supply chain management|information technology consulting|software industry|software development,54,reviewed industry table,
FEIN 041679980,Northeastern University,375,Q37548,Northeastern University,label,Q136822,higher education,61,reviewed industry table,
FEIN 951644600,Cedars Sinai Medical Center,375,Q1052562,Cedars-Sinai Medical Center,label,,,,,no NAICS or SIC on the company or its industries
FEIN 020567016,Novartis Institutes for Biomedical Research,372,Q127415627,Novartis Institutes for BioMedical Research,label,,,,,no NAICS or SIC on the company or its industries
