# World Bank open data, one row per country. The year each indicator came from is in the column name.
iso3	name	population_2024	net_migration_2024	migrant_stock_2024	migrant_stock_pct_2024	remittances_received_usd_2024	remittances_sent_usd_2024	remittances_received_pct_gdp_2024	gdp_per_capita_usd_2024	gdp_growth_pct_2024	urban_population_pct_2024	unemployment_pct_2024
ABW	Aruba	107995	141	73494	68				38590.5650288641	6.81077669324554	61.7909396819594	
AFG	Afghanistan	42647492	-44089	98110	0.2				416.871146273728	1.87319280045979	25.7007352636188	13.687
AGO	Angola	37885849	-2629	676507	1.8	51039356.3395039	419534481.945559	0.0495140569771656	2720.81900669715	4.95267860425956	70.6551379036435	14.02
AIA	Anguilla											
ALA	Åland Islands											
ALB	Albania	2377128	-24472	46377	1.7	2274440593.60033	205314880.622839	8.41217848772137	11374.0085781236	4.04592845095348	58.5463634043555	10.689
AND	Andorra	81938	988	48408	59.1	52335881.1937914	140043306.143719	1.29408135877458	49357.437070178	3.8491605039052	88.8850044816278	
ARE	United Arab Emirates	10986400	278439	8157000	74	1797140912.18516	58461538461.5384	0.325377481632911	50273.5126243239	3.99181200361831	85.8171088279791	2.16
ARG	Argentina	45696159	3454	1958039	4.3	1044365105.03816	569566511.902988	0.163599877828893	13969.7836603737	-1.34293072157739	92.2742315972952	7.15
ARM	Armenia	3033500	-29966	274645	9.2	1278216269.14741	595500108.922664	4.92468775781423	8556.21406956719	5.90000000046228	65.8113671449901	12.405
ASM	American Samoa	46765	-1110	23684	50.6						80.9446986961818	
ATA	Antarctica											
ATF	French Southern Territories											
ATG	Antigua and Barbuda	93772	9	30473	32.5	26196804.074074	42946906.2962962	1.21148760189024	23059.8330702839	2.54044193946544	24.3906919254799	
AUS	Australia	27194286	138510	8111404	30.4	1770711533.77041	16079465512.7137	0.100779106840934	64609.9865116088	1.37340773365975	87.6021469990446	3.942
AUT	Austria	9177982	8813	2327064	25.5	3482501340.47625	9677952357.9908	0.651189560177177	58268.8787651601	-0.659089573171372	69.4658181096788	5.2
AZE	Azerbaijan	10202830	10864	218460	2.1	1351678000	663698000	1.81613683390213	7294.64276088105	4.15806800428062	58.573795837717	5.648
BDI	Burundi	14047786	-27074	387101	2.8	236886516.426757	16189395.1132089	7.79852802134993	216.231928531758	4.11227376394912	24.8302838651025	0.915
BEL	Belgium	11858610	36243	2349032	20	15480994451.5335	10113206949.5673	2.30721068013377	56581.9375642531	1.09775383828703	87.6126557010527	5.7
BEN	Benin	14462724	-7725	418202	2.9				1485.38018885134	7.45311566226201	52.5455354818423	1.637
BES	Bonaire, Sint Eustatius and Saba											
BFA	Burkina Faso	23548781	-25807	739820	3.1	595244650.149578	203035173.411703	2.57274984525714	982.493100418428	4.83395810163883	28.3352514896662	3.441
BGD	Bangladesh	173562364	-473362	2906338	1.7	27524564108.9817	165689379.080449	6.11494686698428	2593.41611680774	4.22325911250161	32.6783196323307	3.635
BGR	Bulgaria	6441421	524	299100	4.4	2642960000	422870000	2.33169813750511	17596.9167621233	3.38708962009333	73.9499356882481	4.2
BHR	Bahrain	1588670	22699	840202	52.3		2659574468.0851		29717.1424605273	2.89710543153512	100	1.084
BHS	Bahamas	401283	1018	67285	16.8	65929000	320921378.619999	0.416407710575514	39455.4466548546	3.37866553336166	81.3249262966481	9.049
BIH	Bosnia and Herzegovina	3164253	-4497	34120	1.1	3124315487.86079	166192585.049836	10.5063635838661	9397.90942855997	3.22679979810856	52.1224302754935	10.69
BLM	Saint Barthélemy											
BLR	Belarus	9132629	-3119	1054604	11.6	1842368153.45	227486364.56	2.34422322962077	8605.60954569694	4.34999638140579	79.1551015210848	3.458
BLZ	Belize	417072	490	68706	16.5	121541290.395516	47224551.072625	3.79385953140795	7681.24400583113	3.50466435023895	41.7532107338224	8.698
BMU	Bermuda	64636	-5	20171	31.2				142250.433195123	1.88822861970388	100	
BOL	Bolivia, Plurinational State of	12413315	-3000	183234	1.5	1279661295.86324	245822433.535511	2.33168794424645	4421.16609889999	-1.12335595517212	71.2361453773988	3.274
BRA	Brazil	211998573	-225510	1406299	0.7	4902400448.25	2090043729.72	0.224281818071329	10310.5486973693	3.41931516501906	87.8958549533146	6.801
BRB	Barbados	282467	-70	35187	12.5				26897.2002039176	3.3669492581395	59.5397032429174	6.448
BRN	Brunei Darussalam	462721	0	119933	25.9				33153.4738913513	4.05251709306727	74.8983133873697	5.18
BTN	Bhutan	791524	-277	55705	7	109604204.233408	74536653.4971936	3.27508748747941	4228.05102403654	7.49856206754038	42.5645249803412	3.282
BVT	Bouvet Island											
BWA	Botswana	2521139	-5778	116402	4.6	128298940.687971	117708428.952333	0.665235250950978	7649.81663744354	-2.77988981666252	67.4623537838418	23.81
CAF	Central African Republic	5330690	-15357	94556	1.8				516.160999996036	1.49999999847535	44.1243555638904	6.253
CAN	Canada	41262329	368599	8805839	22.2	851437898.472405	15226924063.3362	0.0375070185900294	55015.7066917734	2.04626605401701	82.7002565766633	6.351
CCK	Cocos (Keeling) Islands											
CHE	Switzerland	9005582	40099	2773840	31.1	3635806741.16748	40110118771.9646	0.374856435776147	107702.065940312	1.39033363875791	85.4615370020764	4.343
CHL	Chile	19764771	58316	1538324	7.8	100334643.8	692065591.500001	0.0304727117459801	16658.9652720351	2.80512637106611	88.9950908479196	8.718
CHN	China	1408975000	-318992	1638718	0.1	24980610479.96	15073924515.58	0.133374547261861	13293.1162269366	4.95830378788091	65.8946980998325	4.59
