# UNHCR Refugee Data Finder, 2024 (api.unhcr.org/population/v1/population).
# origin = country of origin, asylum = country of asylum. IDPs and returns sit on the origin==asylum rows.
origin	asylum	origin_name	asylum_name	refugees	asylum_seekers	returned_refugees	idps	returned_idps	stateless	other_of_concern	host_community
AFG	AFG	Afghanistan	Afghanistan	0	0	0	3199710	22687	0	72886	600000
AFG	ALB	Afghanistan	Albania	5	0	0	0	0	0	0	0
AFG	ARE	Afghanistan	United Arab Emirates	5	11	0	0	0	0	0	0
AFG	ARG	Afghanistan	Argentina	28	0	0	0	0	0	0	0
AFG	ARM	Afghanistan	Armenia	12	10	0	0	0	0	0	0
AFG	AUS	Afghanistan	Australia	4885	1450	0	0	0	0	0	0
AFG	AUT	Afghanistan	Austria	44714	4308	0	0	0	0	0	0
AFG	AZE	Afghanistan	Azerbaijan	1080	0	6	0	0	0	18	0
AFG	BEL	Afghanistan	Belgium	10382	5570	0	0	0	0	0	0
AFG	BEN	Afghanistan	Benin	0	12	0	0	0	0	0	0
AFG	BGD	Afghanistan	Bangladesh	5	0	0	0	0	0	0	0
AFG	BGR	Afghanistan	Bulgaria	311	1295	0	0	0	0	0	0
AFG	BIH	Afghanistan	Bosnia and Herzegovina	14	11	0	0	0	0	127	0
AFG	BLR	Afghanistan	Belarus	115	6	0	0	0	0	0	0
AFG	BRA	Afghanistan	Brazil	7170	97	0	0	0	0	0	0
AFG	CAN	Afghanistan	Canada	3563	2584	0	0	0	0	0	0
AFG	CHE	Afghanistan	Switzerland	22327	1388	42	0	0	0	0	0
AFG	CHL	Afghanistan	Chile	218	10	0	0	0	0	0	0
AFG	CHN	Afghanistan	China	27	24	0	0	0	0	0	0
AFG	COL	Afghanistan	Colombia	7	0	0	0	0	0	0	0
AFG	CUB	Afghanistan	Cuba	8	0	0	0	0	0	0	0
AFG	CYP	Afghanistan	Cyprus	360	1379	0	0	0	0	0	0
AFG	CZE	Afghanistan	Czechia	262	0	0	0	0	0	0	0
AFG	DEU	Afghanistan	Germany	279737	44659	0	0	0	0	0	0
AFG	DNK	Afghanistan	Denmark	5176	151	0	0	0	0	0	0
AFG	DOM	Afghanistan	Dominican Rep.	0	9	0	0	0	0	0	0
AFG	ECU	Afghanistan	Ecuador	68	6	0	0	0	0	0	0
AFG	EGY	Afghanistan	Egypt	45	408	0	0	0	0	0	0
AFG	ESP	Afghanistan	Spain	4575	955	0	0	0	0	0	0
AFG	EST	Afghanistan	Estonia	45	0	0	0	0	0	0	0
AFG	ETH	Afghanistan	Ethiopia	0	5	0	0	0	0	0	0
AFG	FIN	Afghanistan	Finland	3939	259	0	0	0	0	0	0
AFG	FRA	Afghanistan	France	93482	6400	0	0	0	0	0	0
AFG	GBR	Afghanistan	United Kingdom of Great Britain and Northern Ireland	54908	10999	0	0	0	0	0	0
