seed,Spider-Man,Hulk,Black_Widow_(Natasha_Romanova),Doctor_Strange
2026090900,0,0,0,1
2026090901,2,0,0,2
2026090902,3,1,0,0
2026090903,2,1,1,0
2026090904,1,0,0,0
2026090905,1,2,0,1
2026090906,1,1,0,0
2026090907,3,1,0,0
2026090909,0,2,0,2
2026090910,0,1,0,0
2026090913,3,0,0,1
2026090914,3,0,0,1
2026090915,0,0,0,1
2026090916,1,1,0,0
2026090917,1,0,0,1
2026090918,0,0,0,0
2026090919,0,1,1,0
2026090920,4,0,0,0
2026090921,1,0,0,0
2026090922,0,3,0,0
2026090923,1,1,0,0
2026090924,0,0,0,1
2026090925,1,0,0,0
2026090926,1,1,0,0
2026090927,1,0,0,0
2026090928,0,1,0,0
2026090929,0,0,0,1
2026090930,0,1,0,0
2026090931,0,0,0,1
2026090932,2,1,1,0
2026090934,0,1,0,1
2026090935,1,1,0,1
2026090936,3,0,0,1
2026090937,2,0,0,0
2026090939,1,0,1,1
2026090940,0,1,0,0
2026090941,0,1,0,0
2026090942,2,0,0,0
2026090943,2,0,0,0
2026090944,1,1,0,1
2026090945,0,0,0,0
2026090946,2,1,0,2
2026090947,2,0,0,0
2026090948,1,0,1,0
2026090949,0,3,0,0
2026090950,2,0,1,0
2026090951,2,2,0,1
2026090952,2,0,1,1
2026090953,3,1,0,2
2026090954,0,1,0,1
2026090955,0,0,0,1
2026090956,3,0,0,1
2026090958,1,1,0,0
2026090959,2,0,0,0
2026090960,1,0,1,1
2026090961,0,0,0,1
2026090962,1,2,0,1
2026090963,2,0,0,1
2026090965,1,0,0,0
2026090966,1,1,1,2
2026090967,2,0,2,1
2026090968,1,1,0,2
2026090969,1,1,0,1
2026090970,3,1,0,0
2026090971,1,0,0,1
2026090972,1,0,0,0
2026090973,1,3,0,1
2026090974,1,1,1,1
2026090975,1,1,0,0
2026090976,0,2,0,0
2026090977,1,4,0,0
2026090978,2,0,0,1
2026090979,1,1,0,0
2026090980,1,0,1,0
2026090981,5,1,0,1
2026090982,1,0,0,0
2026090983,1,1,0,0
2026090984,1,0,1,0
2026090985,0,0,0,2
2026090986,2,0,0,1
2026090987,1,0,0,0
2026090988,3,1,1,1
2026090989,1,0,0,0
2026090990,3,1,0,0
2026090991,0,0,0,0
2026090992,3,1,0,0
2026090993,4,1,0,0
2026090994,0,0,0,1
2026090995,1,1,0,0
2026090996,0,0,0,1
2026090997,0,1,1,1
2026090998,0,0,1,1
2026090999,2,1,0,1
2026091000,1,1,0,0
2026091001,3,0,0,0
2026091002,2,1,0,0
2026091003,0,1,0,0
2026091004,2,2,0,0
2026091005,1,0,0,0
2026091006,2,1,1,0
2026091007,1,1,0,0
2026091008,0,2,0,0
2026091009,1,0,0,1
2026091010,2,3,0,1
2026091011,1,0,0,0
2026091012,2,1,0,1
2026091013,3,0,0,0
2026091014,3,0,0,0
2026091015,1,0,1,1
2026091016,3,0,0,0
2026091017,1,2,0,0
2026091018,0,0,0,1
2026091019,0,0,1,0
2026091020,1,0,0,0
2026091021,0,0,0,1
2026091022,1,2,0,0
2026091023,3,0,0,0
2026091024,1,2,1,0
2026091025,3,1,0,0
2026091026,0,0,0,1
2026091027,0,2,0,0
2026091028,1,0,0,0
2026091029,1,0,0,0
2026091030,1,0,0,0
2026091031,1,0,0,0
2026091032,0,0,0,1
2026091033,3,0,0,1
2026091034,3,0,0,0
2026091035,0,0,0,0
2026091036,2,0,0,1
2026091037,0,1,0,1
2026091038,0,1,0,1
2026091039,1,0,0,0
2026091040,2,0,0,1
2026091041,2,0,0,0
2026091042,0,1,0,0
2026091043,0,1,0,0
2026091044,1,0,0,0
2026091045,0,0,0,1
2026091046,1,2,0,0
2026091047,1,1,0,0
2026091048,2,2,0,0
2026091049,0,0,1,0
2026091050,3,1,0,0
2026091051,1,1,1,1
2026091052,2,0,0,0
2026091053,0,1,0,0
2026091054,0,0,0,1
2026091055,1,0,1,1
2026091056,0,2,0,2
2026091057,1,0,1,0
2026091058,2,1,0,0
2026091059,1,1,0,0
2026091060,1,0,0,0
2026091061,3,1,0,0
2026091062,0,0,0,0
2026091063,0,0,0,1
2026091064,0,2,0,1
2026091065,0,1,0,0
2026091066,0,1,0,0
2026091067,1,2,1,0
2026091068,3,1,0,0
2026091069,2,0,1,0
2026091071,0,1,0,1
2026091072,2,0,0,0
2026091073,2,1,0,1
2026091074,1,1,0,0
2026091075,1,0,0,1
2026091076,2,0,1,1
2026091077,1,1,1,1
2026091078,0,0,0,0
2026091079,2,2,0,1
2026091080,0,2,0,0
2026091081,2,1,0,0
2026091082,1,0,0,1
2026091083,1,1,0,0
2026091084,1,0,0,0
2026091085,1,1,0,0
2026091086,3,1,0,0
2026091087,0,0,1,2
2026091088,3,1,0,0
2026091089,0,1,1,1
2026091090,4,0,0,1
2026091091,1,1,0,1
2026091092,1,1,0,0
2026091093,4,0,0,0
2026091094,1,0,0,0
2026091095,3,1,0,0
2026091096,2,0,0,0
2026091097,1,1,0,2
2026091098,0,1,0,0
2026091099,3,0,0,0
2026091100,0,2,0,1
2026091101,1,1,1,0
2026091102,3,1,0,0
2026091103,2,0,0,0
2026091104,1,0,0,1
2026091105,0,1,0,0
2026091106,4,0,0,1
2026091107,1,0,1,0
2026091108,2,0,0,1
2026091109,3,0,0,1
2026091110,0,1,0,1
2026091111,1,2,0,0
2026091112,2,1,0,1
2026091113,5,0,0,0
2026091114,0,0,0,1
2026091115,2,0,0,0
2026091116,1,0,0,0
2026091117,2,2,0,0
2026091118,2,0,0,0
2026091119,0,0,0,1
2026091120,1,2,0,1
2026091121,2,1,0,0
2026091122,1,1,0,0
2026091123,2,0,0,0
2026091124,2,0,0,0
2026091125,3,0,1,1
2026091127,4,1,0,1
2026091128,1,0,0,0
2026091129,0,1,0,1
2026091130,0,0,0,0
2026091131,3,0,0,0
2026091132,3,1,0,1
2026091133,1,1,0,0
2026091134,0,2,0,0
2026091135,2,1,0,0
2026091137,1,0,0,0
2026091138,3,0,0,0
2026091139,0,1,1,1
2026091140,2,0,0,0
2026091141,3,1,0,1
2026091142,0,0,0,4
2026091143,2,0,0,0
2026091144,2,0,0,0
2026091145,0,2,0,1
2026091146,1,0,0,0
2026091147,1,1,0,1
2026091148,2,1,0,0
2026091149,2,0,0,2
2026091150,2,1,0,2
2026091151,2,1,0,1
2026091152,1,0,1,0
2026091153,2,2,0,0
2026091154,0,0,0,0
2026091155,0,1,0,1
2026091156,0,0,0,0
2026091157,0,1,0,1
2026091158,1,0,1,0
2026091159,3,0,1,0
2026091160,0,1,0,0
2026091161,1,0,0,0
2026091163,1,1,0,0
2026091164,2,0,1,3
2026091165,1,0,0,0
2026091166,3,1,0,0
2026091167,1,0,0,0
2026091168,1,1,0,1
2026091169,0,0,1,2
2026091170,2,1,0,0
2026091171,0,2,0,0
2026091172,3,1,0,0
2026091173,3,0,0,2
2026091175,0,1,0,1
2026091176,1,0,0,0
2026091177,1,1,0,1
2026091178,2,0,0,2
2026091179,0,1,0,0
2026091180,0,0,0,0
2026091181,3,0,0,0
2026091182,0,2,0,1
2026091183,0,0,1,0
2026091184,2,1,0,0
2026091185,1,0,0,1
2026091186,1,2,0,1
