seed,Spider-Man,Hulk,Black_Widow_(Natasha_Romanova),Doctor_Strange
2026190900,2,1,1,2
2026190901,2,0,0,2
2026190902,0,0,0,0
2026190903,1,0,1,0
2026190904,2,0,0,0
2026190905,1,0,0,0
2026190906,0,0,0,0
2026190907,0,0,0,1
2026190908,2,0,0,1
2026190910,2,0,0,0
2026190911,1,1,0,1
2026190912,4,1,1,0
2026190913,2,0,0,0
2026190915,4,0,0,0
2026190916,3,1,0,1
2026190917,0,2,0,0
2026190918,1,0,0,1
2026190919,0,1,0,0
2026190921,1,1,0,0
2026190922,2,1,0,0
2026190923,0,1,0,0
2026190924,1,0,0,2
2026190925,0,1,1,0
2026190926,1,2,0,1
2026190927,1,0,0,1
2026190928,1,0,0,0
2026190929,1,2,0,0
2026190930,1,0,0,0
2026190931,1,1,0,0
2026190932,0,1,0,0
2026190933,1,1,0,0
2026190934,1,0,0,0
2026190935,2,0,1,0
2026190936,1,0,0,0
2026190937,4,0,0,0
2026190938,2,0,1,0
2026190939,1,0,1,1
2026190940,1,0,0,0
2026190941,0,0,0,1
2026190942,0,1,0,2
2026190943,3,0,0,0
2026190944,2,0,0,1
2026190945,2,0,0,0
2026190946,0,0,0,0
2026190947,3,1,0,0
2026190948,2,1,0,2
2026190949,0,1,0,3
2026190950,2,1,0,0
2026190951,2,0,1,0
2026190952,0,1,1,0
2026190953,1,0,1,1
2026190954,0,0,0,0
2026190955,3,0,1,1
2026190956,1,0,1,1
2026190957,0,1,0,0
2026190958,1,2,0,0
2026190959,2,0,0,0
2026190960,1,0,0,1
2026190961,1,1,1,1
2026190962,1,1,0,0
2026190963,1,2,0,0
2026190964,3,3,0,1
2026190965,3,1,0,1
2026190966,2,2,0,0
2026190967,1,0,0,4
2026190968,0,0,0,0
2026190969,2,0,0,1
2026190970,2,1,0,0
2026190971,1,0,0,0
2026190972,0,0,0,0
2026190973,1,0,0,0
2026190974,2,1,0,0
2026190975,2,1,0,1
2026190976,1,2,0,0
2026190977,0,0,1,0
2026190978,1,0,0,0
2026190979,1,0,0,0
2026190980,1,1,0,1
2026190981,3,1,0,0
2026190982,1,1,0,0
2026190983,1,1,0,0
2026190984,2,0,0,0
2026190985,2,0,0,0
2026190986,1,1,0,1
2026190987,3,0,0,0
2026190988,1,1,0,1
2026190989,2,0,0,1
2026190990,1,2,0,0
2026190991,1,0,1,1
2026190992,2,2,0,2
2026190993,1,0,0,1
2026190994,1,1,1,0
2026190995,3,1,0,0
2026190996,2,1,0,1
2026190997,3,0,0,0
2026190998,0,1,1,0
2026190999,1,0,1,0
2026191000,1,1,0,1
2026191001,3,0,1,1
2026191002,2,1,0,1
2026191003,1,1,0,0
2026191004,0,0,0,0
2026191005,0,0,0,0
2026191006,1,1,1,2
2026191007,2,0,0,0
2026191008,2,1,0,0
2026191009,1,1,0,1
2026191010,0,0,0,0
2026191011,1,0,1,0
2026191012,0,0,0,0
2026191013,0,1,0,2
2026191014,2,0,0,1
2026191015,1,1,0,2
2026191016,3,1,0,2
2026191018,1,0,0,0
2026191019,2,0,0,1
2026191020,4,2,0,0
2026191021,2,0,0,2
2026191022,0,0,0,0
2026191023,1,1,1,1
2026191024,1,1,0,0
2026191025,2,1,0,1
2026191026,1,0,0,0
2026191027,1,0,0,1
2026191028,0,1,0,0
2026191029,3,0,1,0
2026191030,6,1,0,2
2026191031,2,0,0,0
2026191032,0,0,0,0
2026191034,0,0,0,1
2026191035,2,0,0,0
2026191036,2,0,0,0
2026191037,3,1,0,0
2026191038,0,0,0,0
2026191039,1,1,0,0
2026191040,2,2,0,0
2026191041,1,0,0,1
2026191042,0,1,0,1
2026191043,0,0,0,1
2026191044,1,0,0,0
2026191045,0,0,1,1
2026191046,1,0,0,0
2026191047,1,1,0,2
2026191048,4,1,0,0
2026191049,0,0,1,0
2026191050,3,2,0,0
2026191051,3,0,0,1
2026191052,1,0,0,1
2026191053,2,0,0,0
2026191055,1,1,0,1
2026191056,1,2,0,0
2026191057,2,1,1,0
2026191058,2,0,0,1
2026191059,2,0,0,0
2026191060,2,2,0,1
2026191061,1,0,0,1
2026191062,0,0,0,0
2026191063,0,1,0,0
2026191064,2,0,1,0
2026191065,2,0,0,0
2026191066,1,2,0,0
2026191067,0,0,1,0
2026191068,2,0,0,0
2026191069,2,0,0,0
2026191070,1,0,0,1
2026191071,1,1,0,0
2026191072,4,0,0,0
2026191074,1,0,0,1
2026191075,1,2,0,1
2026191076,0,0,0,1
2026191077,2,0,0,0
2026191078,2,0,0,0
2026191079,2,0,0,1
2026191080,0,1,0,3
2026191081,2,1,0,2
2026191082,3,0,0,0
2026191083,3,0,0,0
2026191084,0,0,0,0
2026191085,1,0,0,1
2026191086,1,1,0,2
2026191087,1,2,0,2
2026191088,1,0,0,1
2026191089,3,1,0,1
2026191090,2,0,0,0
2026191091,0,0,0,0
2026191092,0,0,0,0
2026191093,2,0,1,0
2026191094,0,3,0,2
2026191095,0,0,0,2
2026191096,2,0,0,0
2026191097,1,0,0,1
2026191098,2,1,0,1
2026191099,2,1,1,0
2026191100,1,0,0,0
2026191101,1,0,1,0
2026191102,0,1,1,1
2026191103,0,2,0,0
2026191104,3,0,0,1
2026191105,0,2,0,1
2026191106,4,1,0,1
